URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
117132,919,2083,State-funded primary,355,173,182,48.73%,51.27%,15,4.23%,53,14.93%,60,293,2,16.90%,82.50%,0.006,18,19,355,5.35%
117133,919,2084,State-funded primary,261,125,136,47.89%,52.11%,5,1.92%,13,4.98%,59,202,0,22.60%,77.40%,0,13,13,217,5.99%
117134,919,2085,State-funded primary,325,165,160,50.77%,49.23%,4,1.23%,42,12.92%,47,276,2,14.50%,84.90%,0.006,27,28,290,9.66%
117135,919,2090,State-funded primary,291,152,139,52.23%,47.77%,4,1.37%,24,8.25%,64,227,0,22.00%,78.00%,0,17,17,253,6.72%
117136,919,2091,State-funded primary,224,116,108,51.79%,48.21%,7,3.13%,30,13.39%,37,185,2,16.50%,82.60%,0.009,16,19,202,9.41%
117140,919,2096,State-funded primary,365,174,191,47.67%,52.33%,6,1.64%,43,11.78%,74,291,0,20.30%,79.70%,0,19,21,342,6.14%
117141,919,2098,State-funded primary,188,94,94,50.00%,50.00%,5,2.66%,21,11.17%,26,162,0,13.80%,86.20%,0,22,22,188,11.70%
117143,919,2100,State-funded primary,352,169,183,48.01%,51.99%,16,4.55%,31,8.81%,56,296,0,15.90%,84.10%,0,30,31,352,8.81%
117144,919,2101,State-funded primary,66,24,42,36.36%,63.64%,1,1.52%,16,24.24%,5,61,0,7.60%,92.40%,0,11,11,66,16.67%
117145,919,2102,State-funded primary,207,98,109,47.34%,52.66%,4,1.93%,51,24.64%,37,170,0,17.90%,82.10%,0,45,46,185,24.86%
117146,919,2103,State-funded primary,175,87,88,49.71%,50.29%,6,3.43%,17,9.71%,39,136,0,22.30%,77.70%,0,44,44,155,28.39%
117147,919,2105,State-funded primary,27,13,14,48.15%,51.85%,2,7.41%,6,22.22%,1,26,0,3.70%,96.30%,0,6,6,27,22.22%
117148,919,2106,State-funded primary,142,72,70,50.70%,49.30%,2,1.41%,24,16.90%,36,106,0,25.40%,74.60%,0,32,32,142,22.54%
117149,919,2107,State-funded primary,212,98,114,46.23%,53.77%,5,2.36%,11,5.19%,15,197,0,7.10%,92.90%,0,16,16,180,8.89%
117150,919,2108,State-funded primary,141,72,69,51.06%,48.94%,6,4.26%,27,19.15%,20,121,0,14.20%,85.80%,0,49,49,137,35.77%
117151,919,2109,State-funded primary,308,142,166,46.10%,53.90%,16,5.19%,33,10.71%,52,250,6,16.90%,81.20%,0.019,30,33,270,12.22%
117153,919,2111,State-funded primary,66,30,36,45.45%,54.55%,3,4.55%,12,18.18%,0,66,0,0.00%,100.00%,0,10,10,66,15.15%
117154,919,2114,State-funded primary,137,65,72,47.45%,52.55%,1,0.73%,26,18.98%,4,133,0,2.90%,97.10%,0,25,26,137,18.98%
117156,919,2116,State-funded primary,411,210,201,51.09%,48.91%,14,3.41%,66,16.06%,294,117,0,71.50%,28.50%,0,88,88,384,22.92%
117157,919,2117,State-funded primary,166,77,89,46.39%,53.61%,1,0.60%,15,9.04%,43,123,0,25.90%,74.10%,0,5,5,166,3.01%
117158,919,2120,State-funded primary,241,121,120,50.21%,49.79%,5,2.07%,30,12.45%,152,87,2,63.10%,36.10%,0.008,36,37,241,15.35%
117159,919,2122,State-funded primary,227,115,112,50.66%,49.34%,7,3.08%,29,12.78%,220,7,0,96.90%,3.10%,0,23,24,179,13.41%
117160,919,2123,State-funded primary,241,112,129,46.47%,53.53%,11,4.56%,21,8.71%,142,99,0,58.90%,41.10%,0,56,58,241,24.07%
117161,919,2124,State-funded primary,235,112,123,47.66%,52.34%,4,1.70%,21,8.94%,139,94,2,59.10%,40.00%,0.009,16,16,174,9.20%
117162,919,2125,State-funded primary,238,126,112,52.94%,47.06%,4,1.68%,40,16.81%,104,134,0,43.70%,56.30%,0,33,34,238,14.29%
117163,919,2126,State-funded primary,205,107,98,52.20%,47.80%,4,1.95%,15,7.32%,105,94,6,51.20%,45.90%,0.029,10,10,175,5.71%
117166,919,2131,State-funded primary,227,115,112,50.66%,49.34%,6,2.64%,22,9.69%,111,116,0,48.90%,51.10%,0,23,23,201,11.44%
117167,919,2132,State-funded primary,360,180,180,50.00%,50.00%,10,2.78%,39,10.83%,99,261,0,27.50%,72.50%,0,16,20,360,5.56%
117168,919,2133,State-funded primary,236,112,124,47.46%,52.54%,7,2.97%,57,24.15%,68,168,0,28.80%,71.20%,0,65,67,236,28.39%
117171,919,2139,State-funded primary,219,108,111,49.32%,50.68%,8,3.65%,46,21.00%,7,212,0,3.20%,96.80%,0,14,15,178,8.43%
117174,919,2142,State-funded primary,233,114,119,48.93%,51.07%,10,4.29%,37,15.88%,29,204,0,12.40%,87.60%,0,19,19,211,9.00%
117175,919,2143,State-funded primary,406,191,215,47.04%,52.96%,24,5.91%,38,9.36%,75,331,0,18.50%,81.50%,0,131,133,406,32.76%
117176,919,2145,State-funded primary,47,24,23,51.06%,48.94%,4,8.51%,11,23.40%,3,44,0,6.40%,93.60%,0,9,10,45,22.22%
117177,919,2146,State-funded primary,101,41,60,40.59%,59.41%,3,2.97%,13,12.87%,20,81,0,19.80%,80.20%,0,24,24,101,23.76%
117178,919,2147,State-funded primary,427,214,213,50.12%,49.88%,9,2.11%,74,17.33%,40,387,0,9.40%,90.60%,0,88,88,404,21.78%
117180,919,2151,State-funded primary,390,175,215,44.87%,55.13%,17,4.36%,33,8.46%,220,169,1,56.40%,43.30%,0.003,128,128,390,32.82%
117181,919,2153,State-funded primary,228,125,103,54.82%,45.18%,7,3.07%,37,16.23%,50,178,0,21.90%,78.10%,0,72,72,206,34.95%
117182,919,2154,State-funded primary,373,171,202,45.84%,54.16%,15,4.02%,42,11.26%,183,190,0,49.10%,50.90%,0,97,97,353,27.48%
117183,919,2155,State-funded primary,220,118,102,53.64%,46.36%,16,7.27%,33,15.00%,81,139,0,36.80%,63.20%,0,59,60,200,30.00%
117186,919,2165,State-funded primary,215,110,105,51.16%,48.84%,3,1.40%,57,26.51%,28,187,0,13.00%,87.00%,0,52,52,187,27.81%
117187,919,2166,State-funded primary,335,156,179,46.57%,53.43%,6,1.79%,62,18.51%,50,285,0,14.90%,85.10%,0,74,75,335,22.39%
117188,919,2168,State-funded primary,148,81,67,54.73%,45.27%,23,15.54%,26,17.57%,40,108,0,27.00%,73.00%,0,50,48,139,34.53%
117189,919,2169,State-funded primary,236,111,125,47.03%,52.97%,14,5.93%,56,23.73%,83,153,0,35.20%,64.80%,0,87,87,207,42.03%
117193,919,2177,State-funded primary,216,100,116,46.30%,53.70%,11,5.09%,47,21.76%,76,140,0,35.20%,64.80%,0,44,46,191,24.08%
117194,919,2178,State-funded primary,95,43,52,45.26%,54.74%,8,8.42%,29,30.53%,35,60,0,36.80%,63.20%,0,36,37,89,41.57%
117195,919,2181,State-funded primary,192,80,112,41.67%,58.33%,7,3.65%,32,16.67%,73,119,0,38.00%,62.00%,0,51,55,173,31.79%
117197,919,2184,State-funded primary,218,110,108,50.46%,49.54%,6,2.75%,41,18.81%,51,167,0,23.40%,76.60%,0,33,33,180,18.33%
117200,919,2188,State-funded primary,307,155,152,50.49%,49.51%,4,1.30%,80,26.06%,107,200,0,34.90%,65.10%,0,112,113,282,40.07%
117206,919,2198,State-funded primary,625,296,329,47.36%,52.64%,24,3.84%,101,16.16%,85,540,0,13.60%,86.40%,0,110,122,625,19.52%
117211,919,2203,State-funded primary,333,150,183,45.05%,54.95%,10,3.00%,36,10.81%,28,305,0,8.40%,91.60%,0,6,8,305,2.62%
117214,919,2210,State-funded primary,194,97,97,50.00%,50.00%,7,3.61%,38,19.59%,53,141,0,27.30%,72.70%,0,43,45,190,23.68%
117217,919,2219,State-funded primary,158,79,79,50.00%,50.00%,11,6.96%,11,6.96%,40,118,0,25.30%,74.70%,0,55,56,158,35.44%
117218,919,2223,State-funded primary,44,23,21,52.27%,47.73%,2,4.55%,6,13.64%,3,41,0,6.80%,93.20%,0,11,11,32,34.38%
117219,919,2224,State-funded primary,205,106,99,51.71%,48.29%,19,9.27%,32,15.61%,53,152,0,25.90%,74.10%,0,35,35,205,17.07%
117220,919,2225,State-funded primary,439,212,227,48.29%,51.71%,10,2.28%,52,11.85%,168,271,0,38.30%,61.70%,0,62,63,412,15.29%
117221,919,2226,State-funded primary,342,161,181,47.08%,52.92%,7,2.05%,43,12.57%,28,314,0,8.20%,91.80%,0,76,76,342,22.22%
117222,919,2227,State-funded primary,313,164,149,52.40%,47.60%,8,2.56%,54,17.25%,52,261,0,16.60%,83.40%,0,24,25,313,7.99%
117223,919,2228,State-funded primary,151,73,78,48.34%,51.66%,6,3.97%,33,21.85%,18,133,0,11.90%,88.10%,0,36,36,121,29.75%
117224,919,2229,State-funded primary,163,67,96,41.10%,58.90%,8,4.91%,20,12.27%,26,137,0,16.00%,84.00%,0,55,55,150,36.67%
117227,919,2237,State-funded primary,181,84,97,46.41%,53.59%,3,1.66%,22,12.15%,25,155,1,13.80%,85.60%,0.006,49,49,169,28.99%
117230,919,2242,State-funded primary,235,116,119,49.36%,50.64%,5,2.13%,38,16.17%,16,219,0,6.80%,93.20%,0,22,22,209,10.53%
117231,919,2243,State-funded primary,219,111,108,50.68%,49.32%,13,5.94%,34,15.53%,55,164,0,25.10%,74.90%,0,75,75,202,37.13%
117233,919,2250,State-funded primary,323,148,175,45.82%,54.18%,12,3.72%,49,15.17%,89,233,1,27.60%,72.10%,0.003,91,91,323,28.17%
117234,919,2251,State-funded primary,215,105,110,48.84%,51.16%,9,4.19%,68,31.63%,68,147,0,31.60%,68.40%,0,60,60,203,29.56%
117235,919,2252,State-funded primary,223,106,117,47.53%,52.47%,10,4.48%,23,10.31%,20,203,0,9.00%,91.00%,0,30,30,197,15.23%
117236,919,2253,State-funded primary,394,189,205,47.97%,52.03%,10,2.54%,50,12.69%,23,371,0,5.80%,94.20%,0,56,56,367,15.26%
117242,919,2261,State-funded primary,238,120,118,50.42%,49.58%,2,0.84%,46,19.33%,53,185,0,22.30%,77.70%,0,21,22,238,9.24%
117243,919,2263,State-funded primary,240,125,115,52.08%,47.92%,5,2.08%,28,11.67%,11,229,0,4.60%,95.40%,0,18,19,211,9.00%
117245,919,2266,State-funded primary,343,171,172,49.85%,50.15%,4,1.17%,35,10.20%,101,242,0,29.40%,70.60%,0,22,22,313,7.03%
117249,919,2274,State-funded primary,224,112,112,50.00%,50.00%,6,2.68%,21,9.38%,26,198,0,11.60%,88.40%,0,28,28,209,13.40%
117250,919,2280,State-funded primary,240,109,131,45.42%,54.58%,7,2.92%,44,18.33%,105,134,1,43.80%,55.80%,0.004,33,34,240,14.17%
117252,919,2283,State-funded primary,213,107,106,50.23%,49.77%,13,6.10%,21,9.86%,44,169,0,20.70%,79.30%,0,49,50,199,25.13%
117253,919,2287,State-funded primary,241,130,111,53.94%,46.06%,4,1.66%,26,10.79%,26,215,0,10.80%,89.20%,0,25,25,241,10.37%
117254,919,2288,State-funded primary,155,81,74,52.26%,47.74%,5,3.23%,41,26.45%,21,134,0,13.50%,86.50%,0,43,43,148,29.05%
117255,919,2289,State-funded primary,455,233,222,51.21%,48.79%,35,7.69%,148,32.53%,169,286,0,37.10%,62.90%,0,115,119,400,29.75%
117256,919,2293,State-funded primary,210,123,87,58.57%,41.43%,0,0.00%,36,17.14%,20,190,0,9.50%,90.50%,0,24,24,210,11.43%
117258,919,2299,State-funded primary,355,183,172,51.55%,48.45%,5,1.41%,55,15.49%,43,310,2,12.10%,87.30%,0.006,32,32,355,9.01%
117259,919,2300,State-funded primary,240,118,122,49.17%,50.83%,10,4.17%,35,14.58%,26,214,0,10.80%,89.20%,0,73,76,240,31.67%
117260,919,2301,State-funded primary,158,78,80,49.37%,50.63%,6,3.80%,30,18.99%,17,141,0,10.80%,89.20%,0,8,8,127,6.30%
117261,919,2302,State-funded primary,190,92,98,48.42%,51.58%,15,7.89%,23,12.11%,19,171,0,10.00%,90.00%,0,11,12,190,6.32%
117263,919,2304,State-funded primary,204,90,114,44.12%,55.88%,15,7.35%,42,20.59%,12,192,0,5.90%,94.10%,0,68,68,177,38.42%
117266,919,2308,State-funded primary,164,76,88,46.34%,53.66%,10,6.10%,31,18.90%,26,138,0,15.90%,84.10%,0,33,33,139,23.74%
117269,919,2312,State-funded primary,245,121,124,49.39%,50.61%,18,7.35%,36,14.69%,37,208,0,15.10%,84.90%,0,61,62,225,27.56%
117270,919,2314,State-funded primary,154,80,74,51.95%,48.05%,7,4.55%,28,18.18%,26,128,0,16.90%,83.10%,0,62,62,154,40.26%
117271,919,2316,State-funded primary,222,108,114,48.65%,51.35%,10,4.50%,44,19.82%,13,209,0,5.90%,94.10%,0,36,40,196,20.41%
117272,919,2317,State-funded primary,245,132,113,53.88%,46.12%,8,3.27%,20,8.16%,76,168,1,31.00%,68.60%,0.004,45,48,212,22.64%
117274,919,2322,State-funded primary,213,100,113,46.95%,53.05%,6,2.82%,25,11.74%,11,202,0,5.20%,94.80%,0,13,13,180,7.22%
117276,919,2326,State-funded primary,230,121,109,52.61%,47.39%,4,1.74%,39,16.96%,4,226,0,1.70%,98.30%,0,4,5,207,2.42%
117277,919,2327,State-funded primary,232,105,127,45.26%,54.74%,8,3.45%,22,9.48%,56,176,0,24.10%,75.90%,0,39,39,210,18.57%
117278,919,2331,State-funded primary,345,167,178,48.41%,51.59%,10,2.90%,51,14.78%,27,318,0,7.80%,92.20%,0,27,30,296,10.14%
117279,919,2332,State-funded primary,180,99,81,55.00%,45.00%,2,1.11%,25,13.89%,75,105,0,41.70%,58.30%,0,14,14,180,7.78%
117280,919,2333,State-funded primary,245,111,134,45.31%,54.69%,7,2.86%,25,10.20%,17,228,0,6.90%,93.10%,0,18,18,245,7.35%
117281,919,2336,State-funded primary,265,125,140,47.17%,52.83%,3,1.13%,28,10.57%,22,241,2,8.30%,90.90%,0.008,6,7,223,3.14%
117283,919,2338,State-funded primary,439,208,231,47.38%,52.62%,11,2.51%,52,11.85%,20,419,0,4.60%,95.40%,0,41,60,416,14.42%
117289,919,2348,State-funded primary,209,103,106,49.28%,50.72%,3,1.44%,26,12.44%,24,184,1,11.50%,88.00%,0.005,10,10,209,4.78%
117290,919,2349,State-funded primary,184,79,105,42.93%,57.07%,8,4.35%,24,13.04%,96,88,0,52.20%,47.80%,0,58,58,178,32.58%
117292,919,2353,State-funded primary,236,107,129,45.34%,54.66%,6,2.54%,48,20.34%,52,184,0,22.00%,78.00%,0,23,23,208,11.06%
117293,919,2354,State-funded primary,309,149,160,48.22%,51.78%,3,0.97%,53,17.15%,135,174,0,43.70%,56.30%,0,7,9,269,3.35%
117294,919,2356,State-funded primary,238,120,118,50.42%,49.58%,7,2.94%,23,9.66%,23,215,0,9.70%,90.30%,0,20,21,210,10.00%
117296,919,2360,State-funded primary,211,113,98,53.55%,46.45%,7,3.32%,21,9.95%,33,178,0,15.60%,84.40%,0,42,42,211,19.91%
117297,919,2362,State-funded primary,235,124,111,52.77%,47.23%,10,4.26%,22,9.36%,16,219,0,6.80%,93.20%,0,13,14,199,7.04%
117298,919,2364,State-funded primary,215,109,106,50.70%,49.30%,16,7.44%,24,11.16%,54,160,1,25.10%,74.40%,0.005,12,12,215,5.58%
117303,919,2378,State-funded primary,198,91,107,45.96%,54.04%,5,2.53%,28,14.14%,27,167,4,13.60%,84.30%,0.02,19,20,198,10.10%
117304,919,2379,State-funded primary,197,93,104,47.21%,52.79%,0,0.00%,26,13.20%,68,129,0,34.50%,65.50%,0,12,12,197,6.09%
117305,919,2380,State-funded primary,282,130,152,46.10%,53.90%,13,4.61%,33,11.70%,28,254,0,9.90%,90.10%,0,34,40,256,15.63%
117306,919,2381,State-funded primary,329,157,172,47.72%,52.28%,28,8.51%,84,25.53%,70,259,0,21.30%,78.70%,0,80,81,329,24.62%
117309,919,2386,State-funded primary,318,140,178,44.03%,55.97%,6,1.89%,37,11.64%,15,303,0,4.70%,95.30%,0,28,28,274,10.22%
117310,919,2387,State-funded primary,226,107,119,47.35%,52.65%,16,7.08%,28,12.39%,30,196,0,13.30%,86.70%,0,34,34,205,16.59%
117311,919,2389,State-funded primary,240,113,127,47.08%,52.92%,7,2.92%,21,8.75%,136,103,1,56.70%,42.90%,0.004,28,28,240,11.67%
117313,919,2391,State-funded primary,205,98,107,47.80%,52.20%,2,0.98%,28,13.66%,60,145,0,29.30%,70.70%,0,37,38,205,18.54%
117314,919,2392,State-funded primary,422,210,212,49.76%,50.24%,17,4.03%,30,7.11%,48,371,3,11.40%,87.90%,0.007,11,12,422,2.84%
117315,919,2393,State-funded primary,448,235,213,52.46%,47.54%,10,2.23%,63,14.06%,101,347,0,22.50%,77.50%,0,14,15,409,3.67%
117316,919,2394,State-funded primary,327,159,168,48.62%,51.38%,19,5.81%,91,27.83%,65,262,0,19.90%,80.10%,0,31,31,263,11.79%
117317,919,2395,State-funded primary,174,84,90,48.28%,51.72%,6,3.45%,33,18.97%,56,118,0,32.20%,67.80%,0,40,42,174,24.14%
117319,919,2397,State-funded primary,207,106,101,51.21%,48.79%,6,2.90%,26,12.56%,6,201,0,2.90%,97.10%,0,9,10,173,5.78%
117322,919,2405,State-funded primary,236,129,107,54.66%,45.34%,4,1.69%,48,20.34%,50,186,0,21.20%,78.80%,0,53,56,236,23.73%
117323,919,2406,State-funded primary,214,99,115,46.26%,53.74%,6,2.80%,17,7.94%,47,167,0,22.00%,78.00%,0,39,39,178,21.91%
117324,919,2407,State-funded primary,408,198,210,48.53%,51.47%,12,2.94%,69,16.91%,148,260,0,36.30%,63.70%,0,106,108,384,28.13%
117326,919,2411,State-funded primary,217,115,102,53.00%,47.00%,16,7.37%,25,11.52%,79,138,0,36.40%,63.60%,0,61,61,207,29.47%
117327,919,2412,State-funded primary,227,106,121,46.70%,53.30%,7,3.08%,34,14.98%,45,182,0,19.80%,80.20%,0,22,22,206,10.68%
117328,919,2414,State-funded primary,300,137,163,45.67%,54.33%,10,3.33%,36,12.00%,33,267,0,11.00%,89.00%,0,42,43,278,15.47%
117329,919,2415,State-funded primary,170,74,96,43.53%,56.47%,9,5.29%,35,20.59%,42,128,0,24.70%,75.30%,0,28,29,170,17.06%
117330,919,2416,State-funded primary,446,230,216,51.57%,48.43%,8,1.79%,55,12.33%,51,394,1,11.40%,88.30%,0.002,30,30,416,7.21%
117331,919,2417,State-funded primary,170,80,90,47.06%,52.94%,2,1.18%,21,12.35%,10,160,0,5.90%,94.10%,0,14,14,143,9.79%
117333,919,2422,State-funded primary,211,103,108,48.82%,51.18%,9,4.27%,20,9.48%,42,165,4,19.90%,78.20%,0.019,65,65,204,31.86%
117334,919,2424,State-funded primary,466,246,220,52.79%,47.21%,15,3.22%,49,10.52%,77,389,0,16.50%,83.50%,0,51,51,416,12.26%
117335,919,2426,State-funded primary,334,162,172,48.50%,51.50%,13,3.89%,40,11.98%,101,230,3,30.20%,68.90%,0.009,76,77,307,25.08%
117336,919,2427,State-funded primary,229,113,116,49.34%,50.66%,11,4.80%,54,23.58%,76,153,0,33.20%,66.80%,0,82,83,229,36.24%
117337,919,2428,State-funded primary,419,206,213,49.16%,50.84%,11,2.63%,39,9.31%,45,373,1,10.70%,89.00%,0.002,22,24,419,5.73%
117340,919,2433,State-funded primary,226,116,110,51.33%,48.67%,11,4.87%,36,15.93%,56,169,1,24.80%,74.80%,0.004,46,46,207,22.22%
